# time,x_gt,y_gt,yaw_gt,speed_gt,omega_gt,x_ekf,y_ekf,tracking_error,localization_error
1.730219999999999914e+02,1.533257718760288491e+00,3.896709105799012196e+00,-1.458122432118324152e+00,1.999734213733324328e-01,2.178900268167446516e-02,1.535430584554450029e+00,3.918174331385458231e+00,2.407063536297454620e-02,2.157492190568612023e-02
1.730420000000000016e+02,1.533706759575681255e+00,3.892734562665813858e+00,-1.457685566443964742e+00,1.999778098642330804e-01,2.186920963679487781e-02,1.537092048536127464e+00,3.914198649665433738e+00,2.430504460930236685e-02,2.172940892138969585e-02
1.730620000000000118e+02,1.534157513792800076e+00,3.888760187415682967e+00,-1.457248240137430484e+00,1.999798742126241702e-01,2.186946000728003450e-02,1.539110448979758905e+00,3.910228214277682746e+00,2.454117381084790217e-02,2.203197095844488737e-02
1.730819999999999936e+02,1.534610002250051286e+00,3.884786011651506499e+00,-1.456810903933093870e+00,1.999802514836356016e-01,2.186980179335980962e-02,1.541128849423387681e+00,3.906257778889937526e+00,2.477904547722294126e-02,2.243952220548993404e-02
1.731020000000000039e+02,1.535064229091684496e+00,3.880812038276508336e+00,-1.456373587851889528e+00,1.999803118088985532e-01,2.186755272538121880e-02,1.543147249867019122e+00,3.902287343502186534e+00,2.501866390296959841e-02,2.294610989668036463e-02
1.731220000000000141e+02,1.535520192739846745e+00,3.876838267548343264e+00,-1.455936906245463680e+00,1.999805416478215025e-01,2.182384604477058399e-02,1.545165650310650562e+00,3.898316908114435542e+00,2.526002752639475157e-02,2.354499633292733360e-02
1.731419999999999959e+02,1.535977916335682147e+00,3.872864700431456253e+00,-1.455500631717895565e+00,1.999808174623800006e-01,2.180953966965309965e-02,1.545846607088853908e+00,3.894327973249521069e+00,2.550315950700454692e-02,2.362335999057749852e-02
1.731620000000000061e+02,1.536437416563319891e+00,3.868891339332730883e+00,-1.455064736913565637e+00,1.999810849149185887e-01,2.178703258112911489e-02,1.546193202950701950e+00,3.890334413515307954e+00,2.574807663431211494e-02,2.355803044474924848e-02
1.731819999999999879e+02,1.536898707492418747e+00,3.864918186319241666e+00,-1.454629369429694119e+00,1.999813503036551032e-01,2.175726372252486523e-02,1.546539798812549549e+00,3.886340853781101057e+00,2.599479306885740804e-02,2.349215449941768202e-02
1.732019999999999982e+02,1.537361803457315990e+00,3.860945243786009673e+00,-1.454194676818782117e+00,1.999816137454889786e-01,2.171999824807848561e-02,1.546886394674397591e+00,3.882347294046887942e+00,2.624332325313151817e-02,2.342574637491124864e-02
1.732220000000000084e+02,1.537825190769821049e+00,3.856972211598673983e+00,-1.453845193435865601e+00,1.999764163695799957e-01,1.481056820163212731e-02,1.547232990536245634e+00,3.878353734312675272e+00,2.649213953569912530e-02,2.335971339752462503e-02
1.732419999999999902e+02,1.538290068530570709e+00,3.852999677652443555e+00,-1.453552413691857170e+00,1.999711778250783112e-01,1.452091293440772174e-02,1.548776227064140976e+00,3.874145145183510497e+00,2.674247092907523077e-02,2.360276081094274739e-02
1.732620000000000005e+02,1.538757005810353018e+00,3.849027423740674969e+00,-1.453265917731722867e+00,1.999707038326183628e-01,1.418969048831869931e-02,1.550618623758550418e+00,3.869882798705599924e+00,2.699487393097636800e-02,2.399259563441640680e-02
1.732820000000000107e+02,1.539225596227596693e+00,3.845055367604852670e+00,-1.452984548652527241e+00,1.999711818936685537e-01,1.398848580443389812e-02,1.552461020452959639e+00,3.865620452227689796e+00,2.724893832059612636e-02,2.445606591358831516e-02
1.733019999999999925e+02,1.539695623313504180e+00,3.841083475551513970e+00,-1.452706306160411742e+00,1.999717480804593939e-01,1.386051341933042247e-02,1.554303417147366639e+00,3.861358105749785441e+00,2.750444612910321607e-02,2.498896297106567577e-02
1.733220000000000027e+02,1.540166876356518388e+00,3.837111728880099992e+00,-1.452435792476051812e+00,1.999715598224846014e-01,1.332758061144510321e-02,1.556145813841776082e+00,3.857095759271875313e+00,2.776118594374038517e-02,2.558686995037050618e-02
1.733420000000000130e+02,1.540639382651020073e+00,3.833140133944839434e+00,-1.452170202632506957e+00,1.999720333291982455e-01,1.324108840336392194e-02,1.556868563691881091e+00,3.853050688701532778e+00,2.801918536140024854e-02,2.568689370041318809e-02
1.733619999999999948e+02,1.541113148113165465e+00,3.829168683114737792e+00,-1.451906376654721109e+00,1.999725049802643650e-01,1.315361753338061511e-02,1.557311401830910436e+00,3.849059937108087581e+00,2.827844987882393440e-02,2.565239577373608013e-02
1.733820000000000050e+02,1.541588138328479296e+00,3.825197372009439434e+00,-1.451644181127109245e+00,1.999730390267959457e-01,1.307543696302459167e-02,1.557754239969940446e+00,3.845069185514636612e+00,2.853894489561868003e-02,2.561702196328429285e-02
1.734019999999999868e+02,1.542064334805412829e+00,3.821226198617463599e+00,-1.451383481120865460e+00,1.999735177456361535e-01,1.300218877636906932e-02,1.558197078108969791e+00,3.841078433921191415e+00,2.880065183876106411e-02,2.558078679503503899e-02
1.734219999999999970e+02,1.542540523682490727e+00,3.817255105708555973e+00,-1.451192196846857518e+00,1.999651159714272985e-01,6.592166992000663903e-03,1.558639916247999802e+00,3.837087682327740445e+00,2.906235552609437792e-02,2.554450109777428243e-02
1.734420000000000073e+02,1.543017334844527744e+00,3.813284160422862445e+00,-1.451063593341369140e+00,1.999730377025221717e-01,6.361698072697677571e-03,1.559089070766764173e+00,3.833097398868687389e+00,2.932468854358249305e-02,2.551205819343512968e-02
1.734619999999999891e+02,1.543495495227210412e+00,3.809313231905858022e+00,-1.450939767497379407e+00,1.999738590516949577e-01,6.064475833347302350e-03,1.559539804380461581e+00,3.829107232443239361e+00,2.958836972772774937e-02,2.547984131581183809e-02
1.734819999999999993e+02,1.543974634627953479e+00,3.805342497637295818e+00,-1.450820853706634272e+00,1.999690702683154797e-01,5.847736208625410430e-03,1.559990537994159654e+00,3.825117066017785561e+00,2.985303896795435050e-02,2.544686061718260187e-02
1.735020000000000095e+02,1.544455308885362532e+00,3.801371786796146068e+00,-1.450707064590794904e+00,1.999230118583510130e-01,5.406207668729684154e-03,1.560441271607857727e+00,3.821126899592331760e+00,3.011924210012018391e-02,2.541289998711334860e-02
1.735219999999999914e+02,1.544934557343956349e+00,3.797401064772388146e+00,-1.450609416144899910e+00,1.998705352678967762e-01,3.878159171694356595e-03,1.560892005221555134e+00,3.817136733166883733e+00,3.038402089926309224e-02,2.537984928528485076e-02
1.735420000000000016e+02,1.545414762789518726e+00,3.793430714364183221e+00,-1.450529466525621647e+00,1.998508788606932762e-01,3.619049237276290246e-03,1.563127096959102902e+00,3.812931442763502154e+00,3.064977530438752276e-02,2.634397824625246687e-02
1.735620000000000118e+02,1.545895690317611315e+00,3.789460548901846249e+00,-1.450453775287756653e+00,1.998280095377091004e-01,3.390596925781368728e-03,1.565808278227615702e+00,3.808672371365637854e+00,3.091626070186776626e-02,2.766957317440767172e-02
1.735819999999999936e+02,1.546377177494424826e+00,3.785490526203135087e+00,-1.450381549547472781e+00,1.998157867636774776e-01,3.229609665870848949e-03,1.568489459496124727e+00,3.804413299967780215e+00,3.118331262247722377e-02,2.910368331106293754e-02
1.736020000000000039e+02,1.546859134280649473e+00,3.781520617918484817e+00,-1.450311727915370108e+00,1.998078884565288593e-01,3.128209911002694139e-03,1.571170640764637527e+00,3.800154228569916359e+00,3.145083963121414472e-02,3.063104297000244711e-02
1.736220000000000141e+02,1.547341325284201430e+00,3.777550642371800382e+00,-1.450252815691018604e+00,1.998141672311279926e-01,2.025233956860921208e-03,1.573851822033150327e+00,3.795895157172052503e+00,3.164868670349834517e-02,3.223860513627565400e-02
1.736419999999999959e+02,1.547823669955300963e+00,3.773580878827300200e+00,-1.450207640891622018e+00,1.998045046637208777e-01,1.914062732438459938e-03,1.574852799185928687e+00,3.791853658999718046e+00,3.183223669310988185e-02,3.262619073988688723e-02
